,domain,article,views,date
470589,de,Cat,11,20150401
527218,de,Computer,666,20150401
1059824,de,Dog,8,20150401
2483484,de,Selfie,232,20150401
5860547,en,Cat,5941,20150401
7976343,en,Computer,6313,20150401
8482868,en,Dog,6130,20150401
16154617,en,Selfie,1822,20150401
25983477,es,Cat,4,20150401
26167930,es,Computer,1,20150401
26318063,es,Dog,8,20150401
27521858,es,Selfie,6,20150401
28269564,fr,Cat,13,20150401
28518968,fr,Computer,8,20150401
28776692,fr,Dog,1,20150401
30109138,fr,Selfie,445,20150401
464561,de,Cat,13,20150402
510511,de,Computer,673,20150402
1172001,de,Dog,8,20150402
2803362,de,Selfie,207,20150402
6367598,en,Cat,5467,20150402
8526365,en,Computer,5639,20150402
9034415,en,Dog,5882,20150402
16901757,en,Selfie,1573,20150402
26749136,es,Cat,5,20150402
27128945,es,Dog,13,20150402
28479162,es,Selfie,9,20150402
29284336,fr,Cat,17,20150402
29527255,fr,Computer,4,20150402
29786806,fr,Dog,2,20150402
31184989,fr,Selfie,417,20150402
453977,de,Cat,7,20150403
497954,de,Computer,422,20150403
1068012,de,Dog,6,20150403
2594533,de,Selfie,169,20150403
6290017,en,Cat,4511,20150403
8395306,en,Computer,5327,20150403
9013905,en,Dog,4380,20150403
16669003,en,Selfie,1266,20150403
26534770,es,Cat,4,20150403
26812847,es,Computer,4,20150403
27062560,es,Dog,10,20150403
29041201,es,Selfie,13,20150403
29895512,fr,Cat,9,20150403
30141928,fr,Computer,3,20150403
31689666,fr,Selfie,373,20150403
501088,de,Cat,8,20150404
559192,de,Computer,413,20150404
1026635,de,Dog,11,20150404
2447405,de,Selfie,154,20150404
6122475,en,Cat,4113,20150404
8180986,en,Computer,6079,20150404
8784826,en,Dog,3801,20150404
16283941,en,Selfie,1152,20150404
26404089,es,Cat,9,20150404
26703858,es,Computer,3,20150404
27025923,es,Dog,14,20150404
30423794,es,Selfie,17,20150404
31393917,fr,Cat,13,20150404
31680729,fr,Computer,1,20150404
33298267,fr,Selfie,395,20150404
571911,de,Cat,14,20150405
621089,de,Computer,426,20150405
1196330,de,Dog,9,20150405
2578606,de,Selfie,134,20150405
6406915,en,Cat,3924,20150405
8485183,en,Computer,4456,20150405
8975389,en,Dog,3716,20150405
16685421,en,Selfie,1178,20150405
26654683,es,Cat,6,20150405
26843966,es,Computer,3,20150405
27017633,es,Dog,10,20150405
28563658,es,Selfie,11,20150405
29319239,fr,Cat,8,20150405
29537520,fr,Computer,7,20150405
31115995,fr,Selfie,291,20150405
589059,de,Cat,9,20150406
643641,de,Computer,492,20150406
1358756,de,Dog,16,20150406
2870947,de,Selfie,204,20150406
6659657,en,Cat,5266,20150406
8703943,en,Computer,5794,20150406
9211809,en,Dog,5607,20150406
17417653,en,Selfie,1757,20150406
27972325,es,Cat,5,20150406
28197284,es,Computer,3,20150406
28404983,es,Dog,20,20150406
30123591,es,Selfie,12,20150406
31006805,fr,Cat,10,20150406
31243701,fr,Computer,2,20150406
33079805,fr,Selfie,473,20150406
583715,de,Cat,19,20150407
637784,de,Computer,767,20150407
1343516,de,Dog,11,20150407
2925135,de,Selfie,294,20150407
6593451,en,Cat,6079,20150407
8549365,en,Computer,5986,20150407
9064703,en,Dog,6316,20150407
16751926,en,Selfie,1746,20150407
26642588,es,Cat,9,20150407
26843555,es,Computer,4,20150407
27021548,es,Dog,17,20150407
28286882,es,Selfie,10,20150407
29080336,fr,Cat,18,20150407
29336450,fr,Computer,6,20150407
29701399,fr,Dog,2,20150407
31316485,fr,Selfie,535,20150407
590488,de,Cat,20,20150408
640854,de,Computer,882,20150408
1394558,de,Dog,6,20150408
3067193,de,Selfie,235,20150408
6989764,en,Cat,5947,20150408
8860421,en,Computer,6419,20150408
9394035,en,Dog,5896,20150408
17027928,en,Selfie,1596,20150408
27011196,es,Cat,9,20150408
27218944,es,Computer,5,20150408
27402315,es,Dog,17,20150408
28770792,es,Selfie,9,20150408
29539550,fr,Cat,14,20150408
29787423,fr,Computer,7,20150408
30127888,fr,Dog,3,20150408
31625942,fr,Selfie,565,20150408
589543,de,Cat,23,20150409
642352,de,Computer,729,20150409
1339389,de,Dog,8,20150409
3066606,de,Selfie,225,20150409
7096663,en,Cat,5457,20150409
9284447,en,Computer,5721,20150409
9838111,en,Dog,5905,20150409
17804909,en,Selfie,1686,20150409
29498461,es,Cat,9,20150409
29712104,es,Computer,1,20150409
29900992,es,Dog,22,20150409
31302027,es,Selfie,9,20150409
32116662,fr,Cat,14,20150409
32385045,fr,Computer,6,20150409
34363830,fr,Selfie,409,20150409
639494,de,Cat,15,20150410
693515,de,Computer,777,20150410
